QueryText,KccAns
FARMER ASKED QUERY ABOUT NUTRIENT MANAGEMENT IN PADDY.,RECOMMENDED TO GIVE UREA-30 KG AND DAP-50 KG AND MOP-15 KG PER ACRE.
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
"
Farmer asked query on Weather,"       CLOUDY WEATHER, CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతంలో వాతావరణం మబ్బులుగా ఉంటుంది , జల్లులు పడే అవకాశం కలదు
"
FARMER ASKED QUERY ABOUT DOSAGE OF GRANULES IN PADDY,RECOMMENDED  TO APPLY CARBOFURAN 3G GRANULES 8 TO 10 KG PER ACRE
FARMER ASKED QUERY ABOUT PM KISAN SAMMAN NIDHI YOJANA STATUS,"--https://pmkisan.gov.in/KnowYour_Registration.aspx
RECOMMENDED TO OPEN THIS LINK FOR REGISTRATION NUMBER"
Farmer asked query on Weather,"       CLOUDY WEATHER, CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతంలో వాతావరణం మబ్బులుగా ఉంటుంది , జల్లులు పడే అవకాశం కలదు
"
farmer asked about nutrient management in paddy ?, RECOMMENDED TO SPRAY POTASSIUM NITRATE 13-0-45 @ 5 GRAMS/1 LITER OF WATER/ ACRE (1KG/ACRE/200 LITS OF WATER)
Farmer asked query on Weather,మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
Farmer asked query on Weather,"       CLOUDY WEATHER, CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతంలో వాతావరణం మబ్బులుగా ఉంటుంది , జల్లులు పడే అవకాశం కలదు
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
"
FARMER ASKED QUERY ABOUT WHITE FLY MANAGEMENT IN CHILLI,"RECOMMENDED TO SPRAY ACETAMIPRID(PRIDE)   40 GRAMS  /200 LITRES OF WATER /ACRE 
అసిటామిప్రైడ్   40 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
RECOMMENDED TO SPRAY AZADIRHACHTIN 5 ML / 1 LITRE OF WATER 
  వేప నూనె 5 మిల్లి లీటర్లు / 1  లీటర్ నీటికి  చొప్పున   కలిపి   పిచికారి చేయాలి  
"
FARMER ASKED QUERY ABOUT CATERPILLAR MANAGEMENT IN CHILLI,"RECOMMENDED TO SPRAY THIODICARB (LARVIN) 300 GR /200 LITRES OF WATER / ACRE   
థయోడికార్బ్ 300 గ్రాములు  / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి
"
FARMER ASKED QUERY ON NUTRIENT MANAGEMENT IN CHILLI,"పొటాషియం  నైట్రేట్  13-0-45 @ 5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి 

RECOMMENDED TO SPRAY AGROMINIMAX 3 GRAMS /1 LITER OF WATER 
 అగ్రోమిం మాక్స్ @౩గ్రాములు ఒక లీటర్ నీటికి.(ఎకరానికి 600 గ్రాములు 200 లీటర్ల నీటికి కలిపి పిచికారీ చేయాలి  )  
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
"
Farmer asked query on Weather, మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు  పడే అవకాశం ఉంది. 
farmer asked query about on nutrient management in chilli ,recommended 13-0-45 1 kg/ acre 0r  19-19-19 1kg/ acre
FARMER ASKED QUERY ON SIGATOKA DISEASE MANAGEMENT IN BANANA ,"RECOMMENDED TO SPRAY   TEBUCONAZOLE + TRIFLOXYSTROBIN (NATIVO)160 GRAMS /200 LITRES OF WATER /ACRE      
టిబ్యుకొనజొల్   +  ట్రైప్లోక్సిస్త్రోబిన్ 160  గ్రాములు /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
gemini virus management in chilli,recommended fipronil 2 ml/1ltr of water  or neemoil 5ml/ 1 ltr of water
Farmer asked query on Weather,"WEATHER REPORT:
మీ ప్రాంతం లో మబ్బులు పాటి వర్షం పడే అవకాశం ఉంటుంది.
CLOUDY  WEATHER IN YOUR AREA AND  CHANCE OF RAIN
"
Farmer asked query on Weather,"
WEATHER REPORT
THERE IS A CHANCE OF CLOUDY WEATHER AND RAINS IN YOUR AREA
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
"
FARMER ASKED QUERY ABOUT WESTERN FLOWER THRIPS MANAGEMENT IN CHILLI,RECOMMENDED TO SPRAY BEAUVERIA BASSIANA- 5 ML/1 LITER OF WATER
FARMER ASKED QUERY ON BLACK THRIPS MANAGEMENT IN CHILLI ,"RECOMMENDED TO SPARY BEAUVERIA BASSIANA- 5 ML/1 LITER OF WATER
ఎకరానికి 1 లీటరు బావేరియా బస్సియానా పిచికారీ చేయడానికి సిఫార్సు చేయబడింది
"
FARMER ASKED QUERY ON PINK BOLL WORM MANAGEMENT  IN COTTON,"RECOMMENDED TO SPRAY EMAMECTIN BENZOATE  (PROCLAIM) 90 GRAMS /150 LITRES OF WATER / ACRE  
ఎమామెక్టిన్  బెంజోయేట్  90 గ్రాములు   /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
black gram sowing time ,"తొలకరిలోజూన్ లేక జులై మాసాలలు ,రబీ మెట్టిలో ఆక్టోబర్ మాసంలో,రబీ మాగాణిలో నవంబర్ మాసంలో ,వేసవి ఆరుతడిలో ఫిబ్రవరి మాసంలో,వేసవి మాగాణల్లో మార్చి మాసంలో విత్తుకోవాలి."
FARMER ASKED QUERY ABOUT SUCKING PEST MANAGEMENT IN COTTON,"RECOMMENDED TO SPRAY FIPRONIL (REGENT) 400 ML / 200 LITRES OF WATER /ACRE  
 ఫిప్రోనిల్ 400  మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
RECOMMENDED TO SPRAY AZADIRHACHTIN (NEEM SEED KERNAL OIL )  1 LITRE  /200 LITRES OF WATER /ACRE 
 వేప నూనె 1 లీటర్ /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక  ఎకరాకు  పిచికారి చేయాలి 
"
Farmer asked query on Weather,"
WEATHER REPORT
THERE IS A CHANCE OF CLOUDY WEATHER AND RAINS IN YOUR AREA
"
Farmer asked query on Weather,"WEATHER REPORT : THERE IS A CHANCE OF CLOUDY WEATHER, SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు పడే అవకాశం ఉంది
"
Farmer asked query on Weather,"
WEATHER REPORT
THERE IS A CHANCE OF CLOUDY WEATHER AND RAINS IN YOUR AREA
"
FARMER ASKED QUERY ABOUT ON WHITE FLY MANAGEMENT IN COTTTON ,RECOMMENDED TO SPRAY FIPRONIL 2ML/ 1 LTR OF WATER
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
"
Farmer asked query on Weather,"THERE IS A CHANCE OF CLOUDY SHOWERS IN YOUR AREA  
 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.జల్లులు  పడే అవకాశం ఉంది.
"
Farmer asked about pink boll warm management in cotton,"RECOMMENDED TO SPRAY EMAMECTIN BENZOATE (PROCLAIM) 90 GRAMS /150 LITRES OF WATER / ACRE  
ఎమామెక్టిన్  బెంజోయేట్  90 గ్రాములు   /150 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
fFARMER ASKED QUERY ABOUT WEED MANAGEMENT IN MARIGOLD ,NO RECOMMENDATION OF WEEDICIDE 
Farmer asked query on Weather,"WEATHER REPORT :  THERE IS CHANCE OF DRY WEATHER  IN YOUR AREA మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది
"
Farmer asked query on Weather,"WEATHER REPORT : THERE IS A CHANCE OF CLOUDY WEATHER, SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు పడే అవకాశం ఉంది
"
Farmer asked query on Weather,"CLOUDY WEATHER, CHANCE OF SHOWERS IN YOUR AREA 
వాతావరణం మబ్బులుగా ఉంటుంది , జల్లులు పడే అవకాశం కలదు "
FARMER  ASKED QUERY ON SOWING TIME OF BLACK GRAM ,RECOMMENDED SOWING TIME OF BLACK GRAM IS OCTOBER 
FARMER ASKED QUERY ON MARKET INFORMATION OF ONION,"ONION PRICE IN KURNOOL
Avg Price:	1001.00 INR/Quintal
Costliest Market Price:	2111.00 INR/Quintal
Cheapest Market Price:	406.00 INR/Quintal"
   FARMER ASKED QUERY ON DISEASE MANAGEMENT IN PADDY-BACTERIAL LEAF BLIGHT,"--RECOMMENDED TO SPRAY PLANTOMYCIN 40 GM/200 LT WATER/ACRE
-RECOMMENDED TO SPRAY AGRIMYCIN 80 GM/200 LT WATER/ACRE"
Farmer asked query on Weather,"CLOUDY WEATHER IN YOUR AREA AND  CHANCE OF RAIN
మీ ప్రాంతం లో మబ్బులు పాటి వర్షం పడే అవకాశం ఉంటుంది.
"
Farmer asked query on Weather,"THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA BUT NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది కానీ జల్లులు పడే అవకాశం లేదు

"
FARMER ASKED QUERY ABOUT ON BLACK THRIPS MANAGEMENT IN CHILLI,RECOMMENDED TO SPRAY  BAUVERIA BASSIANA 1 LTR /ACRE
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది
"
farmer asked about white fly control in black gram ?,"RECOMMENDED TO SPRAY ACEPHATE(ARTHIN) 300 GRAMS/ 200 LITRES OF WATER / ACRE 
అసిపేట్ 300 గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
farmer asked about caterpillar control in black gram ?," వేప నూనె 1 లీటర్ /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక  ఎకరాకు  పిచికారి చేయాలి  
"
Farmer asked query on Weather,"
DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
farmer asked query on varieties of black gram ?,"-పి.యు. 31,ఎల్.బి.జి-623 (లాం 623),ఎల్.బి.జి-20 (తేజ),టి.బి.జి-104"
FARMER ASKED QUERY ABOUT WHITE FLY MANAGEMENT IN COTTON,"RECOMMENDED TO SPRAY ACETAMIPRID(PRIDE)   40 GRAMS  /200 LITRES OF WATER /ACRE 
అసిటామిప్రైడ్   40 గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది &,జల్లులు  పడే అవకాశం ఉంది"
  Farmer asked query on sucking pest management in CHILLI,RECOMMENDED TO SPRAY BAYER MOVENTO ENERGY - 200ML-250ML /200 LITRES OF WATER /ACRE    
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది &,జల్లులు  పడే అవకాశం ఉంది"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది &,జల్లులు  పడే అవకాశం ఉంది.
"
  FARMER ASKED QUERY ON SUCKING PEST MANAGEMENT CHILLIES,RECOMMENDED TO SPRAY  FIPRONIL  +IMIDACLOPRID (POLICE) 100 GRAMS/200 LITRES OF WATER /ACRE  
 FARMER ASKED QUERY ON NUTRIENT MANAGEMENT IN DRUM STICK,"RECOMMENDED TO SPRAY ZINC SULPHATE 2 GRAM /1 LITER OF WATER. జింక్ సల్ఫేట్  2 గ్రాములు  / లీటర్ నీటిలో కలిపి పిచికారీ చేయాలి 
RECOMMENDED TO SPRAY UREA 10 GR/1 LITRE OF WATER
RECOMMENDED TO SPRAY WITH MAGNESIUM SULPHATE @5-10 GRMS PER LITRE (2KG/ACRE).
RECOMMENDED TO SPRAY BORAX 3 GRAMS /1 LITR OF WATER  (600 GRAMS /ACRE/200 LITER WATER )
"
FARMER ASKED QUERY ABOUT ON BLB IN PADDY MANAGEMENT ,RECOMMENDED TO SPRAY AGRIMYCIN 80 GM 0R PLANTAMYCIN  40 GM/ ACRE
 FARMER ASKED QUERY ON VARIETIES OF MAIZE," RECOMMENDED TO VARIETIES OF MAIZE-
DHM 115 , DHM 111, DHM 113 , DHM 117, DHM 119  and DHM 121
 CROP DURATION -95-100 DAYS ,YIELD-27-30 QUINTALS/ACRE
"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
FARMER ASKED QUERY ABOUT ON CHILLI DIE BACK MANAGEMENT ,RECOMMENDED TO SPRAY COC  COPPER OXY CHLORIDE ( BLITOX ) 600 GM /200 LTRS OF WATER / ACRE
Farmer asked query on Weather,"      THERE IS A CHANCE OF CLOUDY SHOWERS IN YOUR AREA  
 మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు  పడే అవకాశం ఉంది"
farmer asked about gap should be kept between insecticide and fungicide application in chilli ?,"recommended that , at least give 3-4 days gap between insecticide and fungicide application "
Farmer asked query on Weather,"మీ ప్రాంతం లో మబ్బులు పాటి వర్షం పడే అవకాశం ఉంటుంది.
CLOUDY  WEATHER IN YOUR AREA AND  CHANCE OF RAIN
"
Farmer asked query on Weather,"CLOUDY WEATHER IN YOUR AREA AND NO CHANCE OF RAIN
మీ ప్రాంత లో మాబులతో కూడుకున్న వాతావరణం ఉంటుంది కానీ వర్షం లేదు 
"
farmer asked about thrips control in chilli ?,"RECOMMENDED TO  FIPRONIL  (JUMP)  40 GM /200 LITRES OF WATER / ACRE   
ఫిప్రోనిల్  40 గ్రాములు   /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
RECOMMENDED TO SPRAY AZADIRHACHTIN (NEEM SEED KERNAL OIL )  1 LITRE  /200 LITRES OF WATER /ACRE 
 వేప నూనె 1 లీటర్ /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక  ఎకరాకు  పిచికారి చేయాలి 
"
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది, వర్షం పడే అవకాశం లేదు "
farmer asked about Gemini virus management in chilli ?,"remove and destroy virus infected plants and control white fly which act as vector 
RECOMMENDED TO SPRAY AZADIRHACHTIN (NEEM SEED KERNAL OIL )  1 LITRE  /200 LITRES OF WATER /ACRE 
 వేప నూనె 1 లీటర్ /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక  ఎకరాకు  పిచికారి చేయాలి (1500 ppm) 
RECOMMENDED TO SPRAY AFIDOPYROPEN (SAFINA) 400 ML / 200 LITRES OF WATER /ACRE 
"
Farmer asked query on Weather,"మీ ప్రాంతం లో వాతావరణం పొడిగా ఉంటుంది 
"
farmer asked about Tolfenpyrad 15% EC uses in chilli ?,"Tolfenpyrad is highly effective against a broad range of sucking pests (viz, jassids, thrips, aphids) and chewing and biting pests (Diamond Back Moth or DBM)."
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది, వర్షం పడే అవకాశం లేదు "
Farmer asked query on Weather,"THERE IS A CHANCE OF CLOUDY SHOWERS IN YOUR AREA  
 మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది ,జల్లులు  పడే అవకాశం ఉంది "
Farmer asked query on Weather,"CLOUDY WEATHER IN YOUR AREA AND NO CHANCE OF RAIN
మీ ప్రాంత లో మాబులతో కూడుకున్న వాతావరణం ఉంటుంది కానీ వర్షం లేదు 
"
FARMER ASKED QUERY ON STEM BORER  MANAGEMENT IN MAIZE," RECOMMENDED TO SPRAY  CHLORPYRIFOS  500 ML/200 LITRES OF WATER / ACRE
 క్లోరోఫైరిఫాస్   500 మిల్లి లీటర్లు  / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి. 
RECOMMENDED TO SPRAY AZADIRHACHTIN ( NEEM SEED KERNAL OIL )  1 LITRE  /200 LITRES OF WATER /ACRE 
 వేప నూనె 1 లీటర్ /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక  ఎకరాకు  పిచికారి చేయాలి"
farmer asked about sucking pest control in paddy ?,"RECOMMENDED TO SPRAY ACEPHATE(ARTHIN) 300 GRAMS/ 200 LITRES OF WATER / ACRE 
అసిపేట్ 300 గ్రాములు / 200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
"
Farmer asked query on Weather,"మీ ప్రాంతం లో వాతావరణం పొడిగా ఉంటుంది 
"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
Farmer asked query on Weather,"DRY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది ,జల్లులు పడే అవకాశం లేదు 
"
Farmer asked query on Weather,"WEATHER REPORT :  THERE IS CHANCE OF DRY WEATHER  IN YOUR AREA మీ ప్రాంతములో వాతావరణం పొడిగా ఉంటుంది
"
Farmer asked query on Weather,"మీ ప్రాంతం లో వాతావరణం పొడిగా ఉంటుంది 
"
Farmer asked query on Weather,":THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
"
FARMER ASKED QUERY ABOUT NUTRIENT MANAGEMENT IN COTTON,"RECOMMENDED TO SPRAY POTASSIUM NITRATE  (Multi K) 13-0-45 @ 5 GRAMS/1 LITER OF WATER/ ACRE (1KG/ACRE/200 LITS OF WATER)
 పొటాషియం  నైట్రేట్  13-0-45 @ 5 గ్రాములు లీటరు నీటికి కలిపి  పిచికారీ చేయండి 

RECOMMENDED TO SPRAY AGROMINIMAX 3 GRAMS /1 LITER OF WATER 
 అగ్రోమిం మాక్స్ @౩గ్రాములు ఒక లీటర్ నీటికి.ఎకరానికి 600 గ్రాములు 200 లీటర్ల నీటికి కలిపి పిచికారీ చేయాలి    
"
FARMER ASKED QUERY ON FERTILIZER MANAGEMENT IN MAIZE ,"RECOMMENDED TO APPLY UREA 1 BAG/ACRE , DAP 2 BAGS/ACRE , MOP 10 KGS/ACRE , ZINC 2 KGS/ACRE "
Farmer asked query on Weather,"
WEATHER INFORMATION: 
CLOUDY WEATHER, CHANCE OF SHOWERS IN YOUR AREA 
వాతావరణం మబ్బులుగా ఉంటుంది , జల్లులు పడే అవకాశం కలదు 
"
FARMER ASKED QUERY ABOUT STEMBORER MANAGEMENT IN PADDY,"RECOMMENDED TO SPRAY AZADIRHACHTIN (NEEM SEED KERNAL OIL )  1 LITRE  /200 LITRES OF WATER /ACRE 
 వేప నూనె 1 లీటర్ /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక  ఎకరాకు  పిచికారి చేయాలి 
"
Farmer asked query on Weather,":THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
"
Farmer asked query on Weather,"మీ ప్రాంతం లో వాతావరణం పొడిగా ఉంటుంది 
"
FARMER ASKED QUERY ON BACTERIAL LEAF BLIGHT MANAGEMENT IN PADDY,"RECOMMENDED TO SPRAY PLANTOMYCIN 40 GRAMS /200 LITRES OF WATER / ACRE      
"
FARMER ASKED QUERY ABOUT SUCKING PEST MANAGEMENT IN CHILLI,"RECOMMENDED TO SPRAY DIMETHOATE (ROGER)  400 ML /200 LITRES OF WATER /ACRE 
 డైమిథోయేట్  400 మిల్లి లీటర్లు /200 లీటర్ల నీటికి చొప్పున కలిపి ఒక ఎకరాకు పిచికారి చేయాలి 
RECOMMENDED TO SPRAY AZADIRHACHTIN (NEEM SEED KERNAL OIL )  1 LITRE  /200 LITRES OF WATER /ACRE 
 వేప నూనె 1 లీటర్ /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక  ఎకరాకు  పిచికారి చేయాలి 
"
"FARMER ASKED QUERY ON  PEST MANAGEMENT MOUSAMBI - ABOUT Brand -	RALLIS - SUMMIT","Brand          -	RALLIS - SUMMIT
Target Pest  -   Thrips & Lepidopteran insects, Spotted Boll worm, Tobacco Caterpillar, Fruit Borer,
Crop             -	Major Cash Crops.
Dose / Acre   -	160 - 180 ML / Acre Or 0.25 - 0.40 Ml / Liter Water."
ash gourd seed varieties ,"recommended varieties sakthi ,co-1,co-2, b.h 25"
"FARMER ASKED QUERY ON BORER AND SUCKING PEST  MANAGEMENT IN COTTON
",RECOMMENDED TO SPRAY  BIFENTHRIN (DHANUKA -MARKAR)  320 -400 ML / 200 LITRES OF WATER /ACRE 
Farmer asked price detail of Cotton in Adoni mandi.,"08/11/2022
Mandi  : Adoni
Commodity : Cotton
(Modal Price): 8529/Quintal"
Farmer asked query on Weather,"     CLOUDY WEATHER IN YOUR AREA  AND NO CHANCE OF RAIN
 ఈ రోజు మీ ప్రాంతOలో మాబులతో కూడుకున్న వాతావరణం ఉంటుంది కానీ వర్షం లేదు
"
Farmer asked price detail of Arhar (Tur/Red Gram)(Whole) in Kurnool mandi,No price details found for Arhar (Tur/Red Gram)(Whole) in Kurnool mandi.
FARMER ASKED QUERY ON BPH MANAGEMENT IN PADDY CROP,"RECOMMENDED TO SPRAY  PYMETROZINE  (CHESS) 100 GRAMS /200 LITRES OF WATER/ ACRE       
ఫైమెట్రోజిన్  100  గ్రాములు   / 200 లీటర్ల నీటికి చొప్పున కలిపిఒక ఎకరాకు పిచికారి చేయాలి "
Farmer asked query on Weather,"
THERE IS CHANCE OF CLOUDY WEATHER IN YOUR AREA 
మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది
"
Farmer asked query on Weather,"
THERE IS A CHANCE OF DRY WEATHER IN YOUR AREA
మీ ప్రాంతం లో వాతావరణం పొడిగా ఉంటుంది 
"
cotton pink boll worm management ,"థయోడికార్బ్ 300 గ్రాములు  / 200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి
"
FARMER ASKED QUERY ABOUT CATERPILLAR MANAGEMENT IN CASTOR,"RECOMMENDED TO SPRAY FLUBENDIAMIDE  (FAME) 40 ML /200 LITRES OF WATER / ACRE  
ఫ్లూబెండమైడ్   40 మిల్లి లీటర్లు   /200 లీటర్ల నీటికి చొప్పున కలిపి  ఒక ఎకరాకు పిచికారి చేయాలి 
"
" Ask about information on  PM - KISAN beneficiary status	","Farmer Name : Bindani Achutho Behera
Registration Status: Registration done ( AP142206869 )

પ્રધાનમંત્રી કિસાન સમ્માન નિધિ યોજના નું બેનેફિશ્યિરી સ્ટેટ્સ ચેક કરવા માટે આ લિંક ઉપર ક્લિક કરો https://pmkisan.gov.in/beneficiarystatus.aspx"
Farmer asked query on Weather,"     CLOUDY WEATHER IN YOUR AREA  AND NO CHANCE OF RAIN
 ఈ రోజు మీ ప్రాంతOలో మాబులతో కూడుకున్న వాతావరణం ఉంటుంది కానీ వర్షం లేదు
"
groundnut seed germination time ,The reason for delay in maturity during summer season is due to the fact that in summer it requires 10 to 15 days for its germination as compared to 4-5 days for germination in kharif season.
